origen,segment,segmento,marca,modelo_generico,modelo,generacion,version,version_comercial,nro_puertas,cilindrada_en_lts,cilindrada_en_cc,potencia_en_cv,disposicion_cilindros,cantidad_valvulas,codigo_motor,familia_de_motor,sistema_alimentacion,sistema_inyeccion,turbo,combustible,transmision,nro_velocidades,freno_delantero,freno_trasero,traccion,peso,nro_pasajeros,tipo_uso,uso_bus,nro_ejes,periodo,fecha_inicial,fecha_final,año_inicial,año_final,buscador,año,flota,vcdb_marca,vcdb_modelo,a�o_inicial,a�o_final,a�o
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT AC 1.4 5P 4X2 TM,,5,1.4,1400,-,-,-,55263623,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,FWD AC 2.4 5P 4X2 TA,,5,2.4,1500,170,-,-,ED1,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,LIMITED AC 2.4 5P 4X2 TM,,5,2.4,2400,170,-,-,ED1,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,MANUAL,-,,,4X2,,,,,,2014 - 2014,2014,2014,2014,2014,,2014,2,Jeep,Compass,,,
MEXICO,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,LATITUDE AC 2.4 5P 4X2 TA,,5,2.4,2400,174,-,-,TIGERSHARK,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,,2018 - 2019,2018,2019,2018,2019,,2018,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,3.7 MANUAL,,5,3.7,3700,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,2.4 MANUAL,,5,2.4,2400,-,L4,-,ED3,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2009 - 2010,2009,2010,2009,2010,,2009,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT,,5,2.4,2400,-,L4,-,ED3,-,-,-,,GASOLINA,MANUAL,-,,,4X4,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT 2.4 4X4 AT,,5,2.4,2400,-,L4,-,ED3,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2010 - 2010,2010,2010,2010,2010,,2010,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT 2.4 MT,,5,2.4,2400,-,L4,-,ED3,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,2,Jeep,Compass,,,
MEXICO,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,AC 2.4 5P 4X4 TA,,5,2.4,2400,-,-,-,ED3,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2020 - 2020,2020,2020,2020,2020,,2020,2,Jeep,Compass,,,
MEXICO,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT AC 2.4 5P 4X2 TM,,5,2.4,2400,-,-,-,ED3,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,2,2020 - 2020,2020,2020,2020,2020,,2020,2,Jeep,Compass,,,
MEXICO,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,LONGITUDE AC 2.4 5P 4X4 TM DIESEL,,5,2.4,2400,-,-,-,ED3,-,-,-,,DIESEL,MANUAL,-,,,4X4,,,,,2,2019 - 2019,2019,2019,2019,2019,,2019,2,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,PICKUP,JEEP,GLADIATOR,GLADIATOR,,RUBICON AC 3.6 CD 4X4 TA,,4,3.6,3600,-,-,-,ERC,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2021 - 2022,2021,2022,2021,2022,,2021,2,Jeep,Gladiator,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,3.6 AUTOMATICA 4X4,,4,3.6,3604,286,V6,24,PENTASTAR,-,INYECCION MULTIPUNTO,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,8,DISCO VENTILADO,DISCO,4X4,,,,,,2014 - 2015,2014,2015,2014,2015,,2014,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,MANUAL,,5,-,-,-,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,,,-,,,,,,1999 - 2002,1999,2002,1999,2002,,1999,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,LIMITED,,5,4.0,4000,-,-,-,ERH,-,-,-,,GASOLINA,AUTOMATICA,-,,,-,,,,,,2006 - 2008,2006,2008,2006,2008,,2006,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,2.4 AUTOMATICA,,5,2.4,2400,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,-,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,3.0 MANUAL,,5,3.0,3000,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,1993 - 1993,1993,1993,1993,1993,,1993,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,LAREDO,,5,3.7,3700,-,-,-,EKG,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2008 - 2010,2008,2010,2008,2010,,2008,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,LIMITED,,5,5.7,5700,-,-,-,EZ...,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2008 - 2009,2008,2009,2008,2009,,2008,2,Jeep,Grand Cherokee,,,
VENEZUELA,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,4X4,,5,-,-,-,-,-,-,-,-,-,-,GASOLINA,-,-,,,4X4,,,,,,2001 - 2001,2001,2001,2001,2001,,2001,2,Jeep,Grand Cherokee,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,LIBERTY,LIBERTY,,SPORT,,5,3.7,3700,-,-,-,EKG,-,-,-,,GASOLINA,AUTOMATICA,-,,,-,,,,,,2002 - 2004,2002,2004,2002,2004,,2002,2,Jeep,Liberty,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,LIBERTY,LIBERTY,,,,5,-,-,-,-,-,-,-,-,-,-,GASOLINA,-,-,,,-,,,,,,2002 - 2002,2002,2002,2002,2002,,2002,2,Jeep,Liberty,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,PATRIOT,PATRIOT,,SPORT AC 2.4 5P 4X2 TM,,5,2.4,2400,170,-,-,226 CID,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,,2015 - 2016,2015,2016,2015,2016,,2015,2,Jeep,Patriot,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,PATRIOT,PATRIOT,,SPORT,,5,2.4,2400,-,-,-,ED3,-,-,-,,GASOLINA,AUTOMATICA,-,,,-,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,2,Jeep,Patriot,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,PATRIOT,PATRIOT,,LIMITED,,5,3.7,3700,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,2,Jeep,Patriot,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,RENEGADE,RENEGADE,,AC 1.4 5P 4X2 TM,,5,1.4,1368,-,-,-,55263624,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2016 - 2016,2016,2016,2016,2016,,2016,2,Jeep,Renegade,,,
ITALIA,PASSENGER CARS,SUV,JEEP,RENEGADE,RENEGADE,,AC 2.4 5P 4X4 TA,,5,2.4,2400,147,-,-,ED6,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2015 - 2015,2015,2015,2015,2015,,2015,2,Jeep,Renegade,,,
BRASIL,PASSENGER CARS,SUV,JEEP,RENEGADE,RENEGADE,,SPORT AC 1.8 5P 4X2 TA,,5,1.8,1800,-,-,-,ETORQUE EVO,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,,2016 - 2019,2016,2019,2016,2019,,2016,2,Jeep,Renegade,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WAGONEER,WAGONEER,,AC 5.7 5P 4X4 TA HYBRID,,5,5.7,5700,-,-,-,EZL,-,-,-,,HIBRIDO/GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2022 - 2022,2022,2022,2022,2022,,2022,2,Jeep,Wagoneer,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,RUBICON 3.6 3P 4X4 TA,,3,3.6,3600,286,V6,24,PENTASTAR,-,INYECCION MULTIPUNTO,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,5,DISCO VENTILADO,TAMBOR,4X4,,,,,,2012 - 2012,2012,2012,2012,2012,,2012,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNL 3.6 5P 4X4 TA,,5,3.6,3600,284,L4,16,PENTASTAR,-,INYECCION MULTIPUNTO,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,5,DISCO VENTILADO,DISCO,4X4,,,,,,2017 - 2017,2017,2017,2017,2017,,2017,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,RUBICON AC 3.6 3P 4X4 TA,,3,3.6,3600,286,V6,24,PENTASTAR,-,INYECCION MULTIPUNTO,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,5,DISCO VENTILADO,TAMBOR,4X4,,,,,,2014 - 2017,2014,2017,2014,2017,,2014,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,SAHARA AC 3.6 5P 4X4 TA,,5,3.6,3600,-,-,-,PENTASTAR,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2018 - 2018,2018,2018,2018,2018,,2018,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,,,5,-,-,-,-,-,-,-,-,-,-,GASOLINA,-,-,,,-,,,,,,1998 - 2001,1998,2001,1998,2001,,1998,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNLIMITED SAHARA,,-,3.8,3800,208,L6,12,EGT,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,TAMBOR,4X4,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNLIMITED SAHARA 4WD,,-,3.8,3800,208,L6,12,EGT,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,TAMBOR,4X4,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,3.8 AUTOMATICA 4X4,,-,3.8,3800,208,L6,12,EGT,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,TAMBOR,4X4,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,3.8 4X4 AT,,-,3.8,3800,208,L6,12,EGT,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,TAMBOR,4X4,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,X 3.8 4X4 MT,,-,3.8,3800,208,L6,12,EGT,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,-,DISCO VENTILADO,TAMBOR,4X4,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNLIMITED RUBICON AC 3.6 5P 4X4 TA,,5,3.6,3600,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2021 - 2021,2021,2021,2021,2021,,2021,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNLIMITED SPORT AC 2.0 5P 4X4 TA HYBRID,,5,2.0,1995,-,-,-,-,-,-,-,,HIBRIDO/GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2019 - 2019,2019,2019,2019,2019,,2019,2,Jeep,Wrangler,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,WRANGLER,WRANGLER,,UNLIMITED RUBICON 4XE AC 2.0 5P 4X4 TA HYBRID,,5,2.0,2000,-,-,-,-,-,-,-,,HIBRIDO/GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2022 - 2022,2022,2022,2022,2022,,2022,2,Jeep,Wrangler,,,
CHINA,HEAVIES,CAMION,JIANGTE,EQ1121,EQ1121,,5.9 MANUAL,,-,5.9,5900,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2010 - 2010,2010,2010,2010,2010,,2010,2,,,,,
CHINA,HEAVIES,CAMION,JIANGTE,JDF5120,JDF5120GSSK,,5.9 MANUAL,,-,5.9,5900,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,,,,,
CHINA,PASSENGER CARS,VAN,JINBEI,H2L,H2L,,AC 2.5 4P 4X2 TM DIESEL,,4,2.5,2500,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,2,2021 - 2021,2021,2021,2021,2021,,2021,2,,,,,
CHINA,LIGHT COMMERCIALS,CAMION,JMC,JX1032D,JX1032D,,,,-,2.8,2771,-,-,-,-,-,-,-,,DIESEL,-,-,,,-,,,,,,2012 - 2012,2012,2012,2012,2012,,2012,2,,,,,
CHINA,LIGHT COMMERCIALS,CAMION,JMC,JX1043DL2,JX1043DL2,,TM 2.7 2P 4X2,,2,2.7,2771,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,2,,,,,
CHINA,LIGHT COMMERCIALS,CAMION,JMC,JX1062TG23,JX1062TG23,,4.3 MANUAL,,-,4.3,4260,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,,,,,
CHINA,LIGHT COMMERCIALS,CAMION,JMC,JX3043XSG2,JX3043XSG2,,2.8 4P 4X2 TM DIESEL,,4,2.8,2771,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,2,,,,,
CHINA,PASSENGER CARS,SUV,JMC,S330,S330,,AC 1.5 5P 4X2 TM,,5,1.5,1490,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,2,,,,,
CHINA,HEAVIES,CAMION,JMC,N800,N800,,6.5T AC 2.9 2P 4X2 TM DIESEL CN,,-,2.9,2892,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,2,2022 - 2022,2022,2022,2022,2022,,2022,2,,,,,
CHINA,LIGHT COMMERCIALS,PICKUP,JMCGL,T7,T7,,AC 2.8 CD 4X4 TM DIESEL,,-,2.8,2771,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X4,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,2,,,,,
RUSIA,HEAVIES,CAMION,KAMAZ,5460,5460,,AC 11.8 2P 4X2 TM DIESEL,,2,11.8,11762,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2015 - 2015,2015,2015,2015,2015,,2015,2,,,,,
BRASIL,HEAVIES,CAMION,KENWORTH,K100,K100,,MANUAL,,-,-,-,-,-,-,-,-,-,-,-,DIESEL,MANUAL,-,,,-,,,,,,1989 - 1989,1989,1989,1989,1989,,1989,2,Kenworth,K100,,,
MEXICO,HEAVIES,CAMION,KENWORTH,KW55,KW55,,RECOLECTOR AC 6.7 2P 4X2 TM DIESEL,,2,6.7,6693,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2015 - 2015,2015,2015,2015,2015,,2015,2,Kenworth,KW55,,,
MEXICO,HEAVIES,CAMION,KENWORTH,L700,L700,,RECOLECTOR A1 AC 10.8 2P 6X4 TM DIESEL,,2,10.8,10800,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,2,Kenworth,L700,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T2000,T2000,,6.0 MANUAL,,-,6.0,6000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kenworth,T2000,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T370,T370,,TANQUERO AC 8.3 2P 6X4 TM DIESEL,,2,8.3,8300,-,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,,,6X4,,2,,,2,2019 - 2019,2019,2019,2019,2019,,2019,2,Kenworth,T370,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T660,T660,,A38 15.0 MT,,-,15.0,15000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,Kenworth,T660,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,AC 10.8 2P 6X4 TM DIESEL,,2,10.8,10800,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2016 - 2016,2016,2016,2016,2016,,2016,2,Kenworth,T800,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,TM 15.0 2P 6X4,,2,15.0,15000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,2,Kenworth,T800,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,CAMION AC 10.8 2P 6X4 TM DIESEL,,2,10.8,11000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,2,Kenworth,T800,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,CLASSIC ALCOA AC 14.9 2P 6X4 TM DIESEL,,2,15.0,15000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2015 - 2015,2015,2015,2015,2015,,2015,2,Kenworth,T800,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800,T800,,15.2 6X4 MANUAL,,-,15.2,15200,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2004 - 2004,2004,2004,2004,2004,,2004,2,Kenworth,T800,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800,T800,,15.2 MANUAL,,-,15.2,15200,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kenworth,T800,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800B,T800B,,9.9 6X4 MANUAL,,-,9.9,9900,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,2,,,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800B,T800B,,MANUAL,,-,-,-,-,-,-,-,-,-,-,-,DIESEL,MANUAL,-,,,-,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,2,,,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,14.0 MANUAL 6X4,,-,14.0,14000,-,V6,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,2,Kenworth,T800,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T800,T800,,TP 15.0 MT,,-,15.0,15000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,2,Kenworth,T800,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800,T800,,13.0 MANUAL,,-,13.0,13000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,2,Kenworth,T800,,,
ESTADOS UNIDOS,HEAVIES,CAMION,KENWORTH,T800,T800,,14.9 MANUAL 6X4,,-,14.9,14945,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2007 - 2008,2007,2008,2007,2008,,2007,2,Kenworth,T800,,,
COREA,PASSENGER CARS,MINIVAN,KIA,CARENS,CARENS,,AC 1.7 5P 4X2 TM DIESEL,,5,1.7,1685,-,-,-,D4FD,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2015 - 2016,2015,2016,2015,2016,,2015,2,Kia,Carens,,,
COREA,PASSENGER CARS,MINIVAN,KIA,CARENS,CARENS,,1.4 MANUAL,,5,1.4,1400,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,2,Kia,Carens,,,
COREA,PASSENGER CARS,MINIVAN,KIA,CARENS,CARENS,,1.8,,5,1.8,1800,-,L4,-,T8D,-,-,-,,GASOLINA,-,-,,,-,,,,,,2003 - 2003,2003,2003,2003,2003,,2003,2,Kia,Carens,,,
COREA,PASSENGER CARS,VAN,KIA,CARNIVAL,CARNIVAL,,LX 2.9 AT,,-,2.9,2900,-,L4,-,J3,-,-,-,,DIESEL,AUTOMATICA,-,,,-,,,,,,2010 - 2010,2010,2010,2010,2010,,2010,2,Kia,Carnival,,,
COREA,PASSENGER CARS,COUPE,KIA,CERATO,CERATO,,KOUP 2.0L SX MT,,2,2.0,1999,158,L4,16,G4KD,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,6,DISCO VENTILADO,DISCO,4x2,,5,PARTICULAR,,2,2012 - 2012,2012,2012,2012,2012,,2012,2,Kia,Cerato,,,
COREA,PASSENGER CARS,SEDAN,KIA,CERATO,CERATO,,R AC 1.6 4P 4X2 TM,,4,1.6,1600,-,-,-,G4ED,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,2,2015 - 2015,2015,2015,2015,2015,,2015,2,Kia,Cerato,,,
COREA,PASSENGER CARS,,KIA,CERATO,CERATO,,2.7 MANUAL,,-,2.7,2700,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,,KIA,CERATO,CERATO,,1.1 MANUAL,,-,1.1,1100,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,,KIA,CERATO,CERATO,,1.6 MANUAL 4X2,,-,1.6,1600,105,L4,16,G4ED,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,-,DISCO VENTILADO,TAMBOR,4X2,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,,KIA,CERATO,CERATO,,1.5 MANUAL,,-,1.5,1500,-,-,-,D4FA,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,SEDAN,KIA,CERATO,CERATO,,1.6 MANUAL 4X2,,4,1.6,1599,105,L4,16,G4ED,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,,5,,,2,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,SEDAN,KIA,CERATO,CERATO,,1.6 MANUAL 4X2,,4,1.6,1599,105,L4,16,G4ED,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,,5,,,2,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,SEDAN,KIA,CERATO,CERATO,,1.6 MANUAL 4X2,,4,1.6,1599,105,L4,16,G4ED,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,,5,,,2,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
COREA,PASSENGER CARS,HATCHBACK,KIA,CERATO,CERATO,,3.5 MANUAL,,-,3.5,3500,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2006 - 2006,2006,2006,2006,2006,,2006,2,Kia,Cerato,,,
COREA,PASSENGER CARS,HATCHBACK,KIA,CERATO,CERATO,,1.5 MANUAL,,-,1.5,1500,-,-,-,D4FA,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,2,Kia,Cerato,,,
